userId,movieId,tag,timestamp_x,rating,timestamp_y,title,genres
2,60756,funny,1445714994,5.0,1445714980.0,Step Brothers (2008),Comedy
2,60756,Highly quotable,1445714996,5.0,1445714980.0,Step Brothers (2008),Comedy
2,60756,will ferrell,1445714992,5.0,1445714980.0,Step Brothers (2008),Comedy
2,89774,Boxing story,1445715207,5.0,1445715189.0,Warrior (2011),Drama
2,89774,MMA,1445715200,5.0,1445715189.0,Warrior (2011),Drama
2,89774,Tom Hardy,1445715205,5.0,1445715189.0,Warrior (2011),Drama
2,106782,drugs,1445715054,5.0,1445714966.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
2,106782,Leonardo DiCaprio,1445715051,5.0,1445714966.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
2,106782,Martin Scorsese,1445715056,5.0,1445714966.0,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
7,48516,way too long,1169687325,1.0,1169687318.0,"Departed, The (2006)",Crime|Drama|Thriller
18,431,Al Pacino,1462138765,4.0,1462138790.0,Carlito's Way (1993),Crime|Drama
18,431,gangster,1462138749,4.0,1462138790.0,Carlito's Way (1993),Crime|Drama
18,431,mafia,1462138755,4.0,1462138790.0,Carlito's Way (1993),Crime|Drama
18,1221,Al Pacino,1461699306,5.0,1460242083.0,"Godfather: Part II, The (1974)",Crime|Drama
18,1221,Mafia,1461699303,5.0,1460242083.0,"Godfather: Part II, The (1974)",Crime|Drama
18,5995,holocaust,1455735472,4.5,1455735416.0,"Pianist, The (2002)",Drama|War
18,5995,true story,1455735479,4.5,1455735416.0,"Pianist, The (2002)",Drama|War
18,44665,twist ending,1456948283,4.5,1455049870.0,Lucky Number Slevin (2006),Crime|Drama|Mystery
18,52604,Anthony Hopkins,1457650696,4.5,1457650649.0,Fracture (2007),Crime|Drama|Mystery|Thriller
18,52604,courtroom drama,1457650711,4.5,1457650649.0,Fracture (2007),Crime|Drama|Mystery|Thriller
18,52604,twist ending,1457650682,4.5,1457650649.0,Fracture (2007),Crime|Drama|Mystery|Thriller
18,88094,britpop,1457444500,3.0,1457352482.0,Upside Down: The Creation Records Story (2010),Documentary
18,88094,indie record label,1457444592,3.0,1457352482.0,Upside Down: The Creation Records Story (2010),Documentary
18,88094,music,1457444609,3.0,1457352482.0,Upside Down: The Creation Records Story (2010),Documentary
18,144210,dumpster diving,1455060381,4.0,1455060282.0,Just Eat It: A Food Waste Story (2014),Documentary
18,144210,Sustainability,1455060452,4.0,1455060282.0,Just Eat It: A Food Waste Story (2014),Documentary
21,1569,romantic comedy,1419805413,,,My Best Friend's Wedding (1997),Comedy|Romance
21,1569,wedding,1419805419,,,My Best Friend's Wedding (1997),Comedy|Romance
21,118985,painter,1419805477,,,Big Eyes (2014),Drama
21,119141,bloody,1419793962,0.5,1419793939.0,The Interview (2014),Action|Comedy
49,109487,black hole,1493093306,4.5,1493093231.0,Interstellar (2014),Sci-Fi|IMAX
49,109487,sci-fi,1493093332,4.5,1493093231.0,Interstellar (2014),Sci-Fi|IMAX
49,109487,time-travel,1493093356,4.5,1493093231.0,Interstellar (2014),Sci-Fi|IMAX
62,2,fantasy,1528843929,4.0,1528843890.0,Jumanji (1995),Adventure|Children|Fantasy
62,2,magic board game,1528843932,4.0,1528843890.0,Jumanji (1995),Adventure|Children|Fantasy
62,2,Robin Williams,1528843907,4.0,1528843890.0,Jumanji (1995),Adventure|Children|Fantasy
62,110,beautiful scenery,1528152541,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,epic,1528152532,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,historical,1528152523,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,inspirational,1528152527,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,Medieval,1528152528,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,mel gibson,1528152521,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,Oscar (Best Cinematography),1528152539,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,revenge,1528152531,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,110,sword fight,1528152535,4.5,1521822303.0,Braveheart (1995),Action|Drama|War
62,410,black comedy,1525636607,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,Christina Ricci,1525636685,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,Christopher Lloyd,1525636622,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,dark comedy,1525636610,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,family,1525636708,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,410,gothic,1525636609,4.5,1525636601.0,Addams Family Values (1993),Children|Comedy|Fantasy
62,2023,Al Pacino,1525636728,5.0,1525636725.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
62,2023,Andy Garcia,1525636768,5.0,1525636725.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
62,2023,Classic,1525636752,5.0,1525636725.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
62,2023,Francis Ford Coppola,1525636752,5.0,1525636725.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
62,2023,mafia,1525636733,5.0,1525636725.0,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
